tax,payoff_9,payoff_15,payoff_25,payoff_40,payoff_80,payoff_125
0,9,15,25,40,80,125
5,"10,55","17,221","27,893","43,477","81,375","120,75"
10,"12,1","19,441","30,786","46,955","82,75","116,5"
15,"13,65","21,662","33,679","50,432","84,125","112,25"
20,"15,2","23,882","36,571","53,909","85,5",108
25,"16,75","26,103","39,464","57,386","86,875","103,75"
30,"18,3","28,324","42,357","60,864","88,25","99,5"
35,"19,85","30,544","45,25","64,341","89,625","95,25"
40,"21,4","32,765","48,143","67,818",91,91
45,"22,95","34,985","51,036","71,295","92,375","86,75"
50,"24,5","37,206","53,929","74,773","93,75","82,5"
55,"26,05","39,426","56,821","78,25","95,125","78,25"
60,"27,6","41,647","59,714","81,727","96,5",74
65,"29,15","43,868","62,607","85,205","97,875","69,75"
70,"30,7","46,088","65,5","88,682","99,25","65,5"
75,"32,25","48,309","68,393","92,159","100,625","61,25"
80,"33,8","50,529","71,286","95,636",102,57
85,"35,35","52,75","74,179","99,114","103,375","52,75"
90,"36,9","54,971","77,071","102,591","104,75","48,5"
95,"38,45","57,191","79,964","106,068","106,125","44,25"
100,40,"59,412","82,857","109,545","107,5",40
