;;tax;final_payoff_9;final_payoff_15;final_payoff_25;final_payoff_40;final_payoff_80;final_payoff_125
;;0;25,423;39,247;60,586;90,339;162,836;237,957
;;5;189,129;291,671;449,968;670,675;1208,459;1765,704
;;10;313,574;483,335;745,399;1110,784;2001,099;2923,629
;;15;416,787;641,991;989,645;1474,363;2655,451;3879,277
;;20;503,418;774,712;1193,516;1777,436;3200,244;4674,536
;;25;575,836;885,011;1362,294;2027,749;3649,228;5329,38
;;30;635,57;975,074;1499,177;2229,913;4010,455;5855,427
;;35;683,707;1046,399;1606,297;2386,94;4289,09;6260,071
;;40;720,977;1099,978;1685,053;2500,8;4488,483;6548,093
;;45;747,673;1136,27;1736,159;2572,558;4610,566;6722,321
;;50;763,555;1155,123;1759,6;2602,397;4655,992;6783,899
;;55;767,86;1155,804;1754,686;2589,682;4624,269;6732,479
;;60;700,061;1051,124;1593,07;2348,684;4189,846;6097,632
;;65;630,783;944,178;1427,976;2102,514;3746,124;5449,21
;;70;560;834,908;1259,292;1850,992;3292,756;4786,691
;;75;487,416;722,857;1086,316;1593,07;2827,852;4107,314
;;80;412,604;607,369;908,033;1327,236;2348,684;3407,095
;;85;334,901;487,416;722,857;1051,124;1850,992;2679,804
;;90;253,128;361,18;527,984;760,552;1327,236;1914,426
;;95;164,653;224,599;317,139;446,164;760,552;1086,316
;;100;54,404;54,404;54,404;54,404;54,404;54,404
